Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
N Pooran (LSG),2025-2025,5,5,1,288,87*,72.00,128,225.00,-,3,-,25,24
B Sai Sudharsan (GT),2025-2025,5,5,-,273,82,54.60,180,151.66,-,3,-,24,12
MR Marsh (LSG),2025-2025,5,5,-,265,81,53.00,147,180.27,-,4,1,28,15
JC Buttler (GT),2025-2025,5,5,1,202,73*,50.50,124,162.90,-,2,1,19,9
SA Yadav (MI),2025-2025,5,5,1,199,67,49.75,132,150.75,-,1,-,20,8
AM Rahane (KKR),2025-2025,5,5,-,184,61,36.80,115,160.00,-,2,-,17,12
SV Samson (RR),2025-2025,5,5,-,178,66,35.60,118,150.84,-,1,-,20,7
SS Iyer (PBKS),2025-2025,4,4,2,168,97*,84.00,84,200.00,-,2,-,10,14
V Kohli (RCB),2025-2025,4,4,1,164,67,54.66,114,143.85,-,2,-,15,6
RM Patidar (RCB),2025-2025,4,4,-,161,64,40.25,92,175.00,-,2,-,16,8
P Arya (PBKS),2025-2025,4,4,-,158,103,39.50,75,210.66,1,-,1,15,11
H Klaasen (SRH),2025-2025,5,5,-,152,34,30.40,90,168.88,-,-,-,13,7
NT Tilak Varma (MI),2025-2025,5,4,-,151,56,37.75,113,133.62,-,1,-,11,7
TM Head (SRH),2025-2025,5,5,-,148,67,29.60,78,189.74,-,1,-,21,6
Shubman Gill (GT),2025-2025,5,5,1,148,61*,37.00,101,146.53,-,1,-,16,5
R Ravindra (CSK),2025-2025,5,5,1,145,65*,36.25,109,133.02,-,1,1,13,4
AK Markram (LSG),2025-2025,5,5,-,144,53,28.80,101,142.57,-,1,-,11,8
AU Verma (SRH),2025-2025,5,5,-,141,74,28.20,77,183.11,-,1,-,8,12
SO Hetmyer (RR),2025-2025,5,5,-,140,52,28.00,91,153.84,-,1,-,9,9
SE Rutherford (GT),2025-2025,5,5,2,136,46,45.33,76,178.94,-,-,-,11,10
R Parag (RR),2025-2025,5,5,1,135,43*,33.75,84,160.71,-,-,-,7,11
A Raghuvanshi (KKR),2025-2025,5,5,1,133,50,33.25,91,146.15,-,1,-,13,4
Ishan Kishan (SRH),2025-2025,5,5,1,127,106*,31.75,72,176.38,1,-,1,13,6
DC Jurel (RR),2025-2025,5,5,1,124,70,31.00,79,156.96,-,1,-,12,7
RD Gaikwad (CSK),2025-2025,5,5,-,122,63,24.40,81,150.61,-,2,1,14,4
Q de Kock (KKR),2025-2025,5,5,1,118,97*,29.50,84,140.47,-,1,-,9,8
N Wadhera (PBKS),2025-2025,3,3,1,114,62,57.00,73,156.16,-,1,-,7,8
VR Iyer (KKR),2025-2025,5,4,-,114,60,28.50,74,154.05,-,1,-,14,4
N Rana (RR),2025-2025,5,5,-,113,81,22.60,63,179.36,-,1,-,14,5
K Nitish Kumar Reddy (SRH),2025-2025,5,5,-,112,32,22.40,94,119.14,-,-,1,11,2
RD Rickelton (MI),2025-2025,5,5,1,108,62*,27.00,72,150.00,-,1,-,14,5
YBK Jaiswal (RR),2025-2025,5,5,-,107,67,21.40,84,127.38,-,1,-,7,7
Shashank Singh (PBKS),2025-2025,4,3,3,106,52*,-,65,163.07,-,1,-,8,5
PD Salt (RCB),2025-2025,4,4,-,106,56,26.50,62,170.96,-,1,-,16,4
S Dube (CSK),2025-2025,5,5,-,106,42,21.20,74,143.24,-,-,-,7,7
MS Dhoni (CSK),2025-2025,5,5,3,103,30*,51.50,67,153.73,-,-,-,6,7
RK Singh (KKR),2025-2025,5,4,2,99,38*,49.50,56,176.78,-,-,-,12,4
KL Rahul (DC),2025-2025,2,2,-,92,77,46.00,56,164.28,-,1,-,8,4
Naman Dhir (MI),2025-2025,5,4,1,92,46,30.66,53,173.58,-,-,-,9,4
Prabhsimran Singh (PBKS),2025-2025,4,4,-,91,69,22.75,60,151.66,-,1,1,12,3
DA Miller (LSG),2025-2025,5,5,3,90,27*,45.00,62,145.16,-,-,-,9,3
JM Sharma (RCB),2025-2025,4,3,1,85,40*,42.50,46,184.78,-,-,-,8,6
RA Jadeja (CSK),2025-2025,5,5,2,85,32*,28.33,67,126.86,-,-,-,5,3
DP Conway (CSK),2025-2025,2,2,-,82,69,41.00,63,130.15,-,1,-,7,2
HH Pandya (MI),2025-2025,4,3,1,81,42,40.50,48,168.75,-,-,-,6,5
SP Narine (KKR),2025-2025,4,4,-,81,44,20.25,48,168.75,-,-,1,9,6
A Badoni (LSG),2025-2025,5,4,-,81,41,20.25,63,128.57,-,-,-,6,3
