Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Noor Ahmad (CSK),2025-2025,5,5,108,18.0,-,150,11,4/18,13.63,8.33,9.81,1,-
HH Pandya (MI),2025-2025,4,4,84,14.0,-,120,10,5/36,12.0,8.57,8.4,-,1
R Sai Kishore (GT),2025-2025,5,5,110,18.2,-,133,10,3/30,13.3,7.25,11.0,-,-
Mohammed Siraj (GT),2025-2025,5,5,120,20.0,-,154,10,4/17,15.4,7.7,12.0,1,-
KK Ahmed (CSK),2025-2025,5,5,120,20.0,-,165,10,3/29,16.5,8.25,12.0,-,-
MA Starc (DC),2025-2025,3,3,70,11.4,-,104,9,5/35,11.55,8.91,7.77,-,1
SN Thakur (LSG),2025-2025,5,5,102,17.0,-,184,9,4/34,20.44,10.82,11.33,1,-
JR Hazlewood (RCB),2025-2025,4,4,95,15.5,-,123,8,3/21,15.37,7.76,11.87,-,-
M Prasidh Krishna (GT),2025-2025,5,5,114,19.0,-,134,8,3/24,16.75,7.05,14.25,-,-
KH Pandya (RCB),2025-2025,4,4,78,13.0,-,134,7,4/45,19.14,10.3,11.14,1,-
DS Rathi (LSG),2025-2025,5,5,120,20.0,-,155,7,2/30,22.14,7.75,17.14,-,-
Kuldeep Yadav (DC),2025-2025,3,3,72,12.0,-,72,6,3/22,12.0,6.0,12.0,-,-
V Puthur (MI),2025-2025,4,4,66,11.0,-,94,6,3/32,15.66,8.54,11.0,-,-
PW Hasaranga (RR),2025-2025,3,3,66,11.0,-,105,6,4/35,17.5,9.54,11.0,1,-
CV Varun (KKR),2025-2025,5,5,114,19.0,-,125,6,3/22,20.83,6.57,19.0,-,-
VG Arora (KKR),2025-2025,4,4,90,15.0,1,139,6,3/29,23.16,9.26,15.0,-,-
Arshdeep Singh (PBKS),2025-2025,4,4,96,16.0,-,153,6,3/43,25.5,9.56,16.0,-,-
M Theekshana (RR),2025-2025,5,5,120,20.0,-,194,6,2/26,32.33,9.7,20.0,-,-
Ashwani Kumar (MI),2025-2025,2,2,36,6.0,-,63,5,4/24,12.6,10.5,7.2,1,-
AD Russell (KKR),2025-2025,5,3,39,6.3,-,88,5,2/21,17.6,13.53,7.8,-,-
LH Ferguson (PBKS),2025-2025,3,3,66,11.0,-,103,5,2/37,20.6,9.36,13.2,-,-
Yash Dayal (RCB),2025-2025,4,4,78,13.0,-,109,5,2/18,21.8,8.38,15.6,-,-
M Pathirana (CSK),2025-2025,4,4,96,16.0,-,147,5,2/28,29.4,9.18,19.2,-,-
TU Deshpande (RR),2025-2025,4,4,78,13.0,-,149,5,3/44,29.8,11.46,15.6,-,-
Mohammed Shami (SRH),2025-2025,5,5,102,17.0,-,158,5,2/28,31.6,9.29,20.4,-,-
Harshit Rana (KKR),2025-2025,5,5,96,16.0,-,162,5,2/36,32.4,10.12,19.2,-,-
Sandeep Sharma (RR),2025-2025,5,5,108,18.0,-,166,5,2/21,33.2,9.22,21.6,-,-
R Ashwin (CSK),2025-2025,5,5,102,17.0,-,168,5,2/48,33.6,9.88,20.4,-,-
TA Boult (MI),2025-2025,5,5,108,18.0,-,169,5,2/57,33.8,9.38,21.6,-,-
JC Archer (RR),2025-2025,5,5,105,17.3,1,177,5,3/25,35.4,10.11,21.0,-,-
Zeeshan Ansari (SRH),2025-2025,3,3,66,11.0,-,100,4,3/42,25.0,9.09,16.5,-,-
HV Patel (SRH),2025-2025,4,4,78,13.0,-,122,4,2/34,30.5,9.38,19.5,-,-
DL Chahar (MI),2025-2025,5,5,72,12.0,-,128,4,2/19,32.0,10.66,18.0,-,-
PJ Cummins (SRH),2025-2025,5,5,100,16.4,-,186,4,2/29,46.5,11.16,25.0,-,-
Ravi Bishnoi (LSG),2025-2025,5,5,114,19.0,-,225,4,2/53,56.25,11.84,28.5,-,-
GJ Maxwell (PBKS),2025-2025,4,4,48,8.0,-,65,3,1/11,21.66,8.12,16.0,-,-
V Nigam (DC),2025-2025,3,3,48,8.0,-,83,3,2/27,27.66,10.37,16.0,-,-
B Kumar (RCB),2025-2025,3,3,66,11.0,-,91,3,1/20,30.33,8.27,22.0,-,-
Akash Deep (LSG),2025-2025,2,2,48,8.0,-,101,3,2/55,33.66,12.62,16.0,-,-
Avesh Khan (LSG),2025-2025,4,4,90,15.0,-,160,3,1/40,53.33,10.66,30.0,-,-
M Jansen (PBKS),2025-2025,4,4,96,16.0,-,165,3,1/28,55.0,10.31,32.0,-,-
Rashid Khan (GT),2025-2025,5,5,108,18.0,-,180,3,2/37,60.0,10.0,36.0,-,-
MM Ali (KKR),2025-2025,2,1,24,4.0,-,23,2,2/23,11.5,5.75,12.0,-,-
LS Livingstone (RCB),2025-2025,4,3,42,7.0,-,54,2,2/28,27.0,7.71,21.0,-,-
Arshad Khan (GT),2025-2025,3,3,30,5.0,-,57,2,1/17,28.5,11.4,15.0,-,-
M Siddharth (LSG),2025-2025,2,2,42,7.0,-,67,2,2/39,33.5,9.57,21.0,-,-
Mukesh Kumar (DC),2025-2025,3,3,48,8.0,-,75,2,1/22,37.5,9.37,24.0,-,-
K Rabada (GT),2025-2025,2,2,48,8.0,-,83,2,1/41,41.5,10.37,24.0,-,-
A Zampa (SRH),2025-2025,2,2,48,8.0,-,94,2,1/46,47.0,11.75,24.0,-,-
RA Jadeja (CSK),2025-2025,5,5,78,13.0,-,105,2,1/10,52.5,8.07,39.0,-,-
SP Narine (KKR),2025-2025,4,4,84,14.0,-,127,2,1/27,63.5,9.07,42.0,-,-
Simarjeet Singh (SRH),2025-2025,4,4,60,10.0,-,141,2,2/46,70.5,14.1,30.0,-,-
PHKD Mendis (SRH),2025-2025,2,2,12,2.0,-,16,1,1/4,16.0,8.0,12.0,-,-
Mujeeb Ur Rahman (MI),2025-2025,1,1,12,2.0,-,28,1,1/28,28.0,14.0,12.0,-,-
K Khejroliya (GT),2025-2025,1,1,18,3.0,-,29,1,1/29,29.0,9.66,18.0,-,-
K Kartikeya (RR),2025-2025,2,2,18,3.0,-,31,1,1/21,31.0,10.33,18.0,-,-
NT Ellis (CSK),2025-2025,1,1,24,4.0,-,38,1,1/38,38.0,9.5,24.0,-,-
Yash Thakur (PBKS),2025-2025,1,1,24,4.0,-,39,1,1/39,39.0,9.75,24.0,-,-
WG Jacks (MI),2025-2025,4,2,30,5.0,-,42,1,1/32,42.0,8.4,30.0,-,-
PVSN Raju (MI),2025-2025,2,2,24,4.0,-,53,1,1/40,53.0,13.25,24.0,-,-
Rasikh Salam (RCB),2025-2025,2,2,36,6.0,-,70,1,1/35,70.0,11.66,36.0,-,-
Mukesh Choudhary (CSK),2025-2025,2,2,36,6.0,-,71,1,1/21,71.0,11.83,36.0,-,-
Prince Yadav (LSG),2025-2025,2,2,48,8.0,-,76,1,1/29,76.0,9.5,48.0,-,-
MM Sharma (DC),2025-2025,3,3,60,10.0,-,94,1,1/25,94.0,9.4,60.0,-,-
I Sharma (GT),2025-2025,3,3,48,8.0,-,97,1,1/27,97.0,12.12,48.0,-,-
YS Chahal (PBKS),2025-2025,4,4,66,11.0,-,111,1,1/36,111.0,10.09,66.0,-,-
