Player Name,Team,Role,Base Price,Final Price
Rishabh Pant,LSG,BAT,2,27
Shreyas Iyer,PBKS,BAT,2,26.75
Venkatesh Iyer,KKR,AR,2,23.75
Arshdeep Singh,PBKS,BOWL,2,18
Yuzvendra Chahal,PBKS,BOWL,2,18
Jos Buttler,GT,BAT,2,15.75
KL Rahul,DC,BAT,2,14
Jofra Archer,RR,BOWL,2,12.5
Trent Boult,MI,BOWL,2,12.5
Josh Hazlewood,RCB,BOWL,2,12.5
Mohammed Siraj,GT,BOWL,2,12.25
Mitchell Starc,DC,BOWL,2,11.75
Phil Salt,RCB,BAT,2,11.5
Ishan Kishan,SRH,BAT,2,11.25
Marcus Stoinis,PBKS,AR,2,11
Jitesh Sharma,RCB,BAT,1,11
T Natarajan,DC,BOWL,2,10.75
Bhuvneshwar Kumar,RCB,BOWL,2,10.75
Kagiso Rabada,GT,BOWL,2,10.75
Mohammed Shami,SRH,BOWL,2,10
