State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Wanaparthy,2023-07-31,2023,07,0.1137466314,NRSC VIC MODEL
Telangana,Wanaparthy,2023-08-23,2023,08,0.0070530313,NRSC VIC MODEL
Telangana,Wanaparthy,2023-08-25,2023,08,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-09-02,2023,09,1.7932141656,NRSC VIC MODEL
Telangana,Wanaparthy,2023-09-06,2023,09,21.3817828504,NRSC VIC MODEL
Telangana,Wanaparthy,2023-09-11,2023,09,5.0579892097,NRSC VIC MODEL
Telangana,Wanaparthy,2023-09-16,2023,09,0.0007130069,NRSC VIC MODEL
Telangana,Wanaparthy,2023-09-17,2023,09,0.0013236567,NRSC VIC MODEL
Telangana,Wanaparthy,2023-09-18,2023,09,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-09-22,2023,09,7.5619843682,NRSC VIC MODEL
Telangana,Wanaparthy,2023-09-25,2023,09,3.8705744277,NRSC VIC MODEL
Telangana,Wanaparthy,2023-09-29,2023,09,0.0006568002,NRSC VIC MODEL
Telangana,Wanaparthy,2023-10-01,2023,10,0.5153826379,NRSC VIC MODEL
Telangana,Wanaparthy,2023-10-07,2023,10,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-10-15,2023,10,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-11-02,2023,11,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-11-13,2023,11,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-11-18,2023,11,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-11-19,2023,11,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-11-25,2023,11,0.1009772974,NRSC VIC MODEL
Telangana,Wanaparthy,2023-11-26,2023,11,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-11-30,2023,11,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-12-02,2023,12,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-12-03,2023,12,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-12-07,2023,12,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-12-11,2023,12,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-12-21,2023,12,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-12-26,2023,12,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-01-02,2023,01,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-01-06,2023,01,0.0964101029,NRSC VIC MODEL
Telangana,Warangal Rural,2023-01-07,2023,01,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-01-11,2023,01,0.005040653,NRSC VIC MODEL
Telangana,Warangal Rural,2023-01-17,2023,01,0.0856350957,NRSC VIC MODEL
Telangana,Warangal Rural,2023-01-20,2023,01,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-01-21,2023,01,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-01-23,2023,01,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-01-26,2023,01,0.0005647944,NRSC VIC MODEL
Telangana,Warangal Rural,2023-01-30,2023,01,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-02-02,2023,02,0.0035091246,NRSC VIC MODEL
Telangana,Warangal Rural,2023-02-08,2023,02,0.0002818975,NRSC VIC MODEL
Telangana,Warangal Rural,2023-02-11,2023,02,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-02-18,2023,02,0.0001698157,NRSC VIC MODEL
Telangana,Warangal Rural,2023-02-21,2023,02,0.0009838894,NRSC VIC MODEL
Telangana,Warangal Rural,2023-02-28,2023,02,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-03-01,2023,03,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-03-15,2023,03,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-03-19,2023,03,47.2728588111,NRSC VIC MODEL
Telangana,Warangal Rural,2023-03-26,2023,03,0.0461737916,NRSC VIC MODEL
Telangana,Warangal Rural,2023-03-27,2023,03,1.2380572466,NRSC VIC MODEL
Telangana,Warangal Rural,2023-03-30,2023,03,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-04-13,2023,04,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-04-19,2023,04,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-04-24,2023,04,13.0571607972,NRSC VIC MODEL
Telangana,Warangal Rural,2023-04-25,2023,04,0.1796271096,NRSC VIC MODEL
Telangana,Warangal Rural,2023-05-03,2023,05,0.0264589455,NRSC VIC MODEL
Telangana,Warangal Rural,2023-05-08,2023,05,0.0706020872,NRSC VIC MODEL
Telangana,Warangal Rural,2023-05-12,2023,05,0.0079919384,NRSC VIC MODEL
Telangana,Warangal Rural,2023-05-15,2023,05,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-05-22,2023,05,0.0171763827,NRSC VIC MODEL
Telangana,Warangal Rural,2023-05-23,2023,05,2.87163e-05,NRSC VIC MODEL
Telangana,Warangal Rural,2023-05-31,2023,05,1.8072358717,NRSC VIC MODEL
Telangana,Warangal Rural,2023-06-12,2023,06,0.0506405801,NRSC VIC MODEL
Telangana,Warangal Rural,2023-06-17,2023,06,0.0,NRSC VIC MODEL
Telangana,Warangal Rural,2023-06-22,2023,06,2.4005388768,NRSC VIC MODEL
Telangana,Warangal Rural,2023-06-26,2023,06,2.0228076671,NRSC VIC MODEL
Telangana,Warangal Rural,2023-06-29,2023,06,7.6303330307,NRSC VIC MODEL
Telangana,Warangal Rural,2023-07-08,2023,07,17.207705317,NRSC VIC MODEL
Telangana,Warangal Rural,2023-07-11,2023,07,31.65033856,NRSC VIC MODEL
Telangana,Warangal Rural,2023-07-13,2023,07,7.0601685557,NRSC VIC MODEL
Telangana,Warangal Rural,2023-07-17,2023,07,1.4392020194,NRSC VIC MODEL
Telangana,Warangal Rural,2023-07-20,2023,07,52.9822813057,NRSC VIC MODEL
Telangana,Warangal Rural,2023-07-25,2023,07,136.1273693292,NRSC VIC MODEL
Telangana,Warangal Rural,2023-07-27,2023,07,275.6549960398,NRSC VIC MODEL
Telangana,Warangal Rural,2023-07-29,2023,07,1.7064110797,NRSC VIC MODEL
Telangana,Warangal Rural,2023-07-30,2023,07,0.4672661716,NRSC VIC MODEL
Telangana,Warangal Rural,2023-08-10,2023,08,0.0034346247,NRSC VIC MODEL
Telangana,Warangal Rural,2023-08-12,2023,08,0.0001409488,NRSC VIC MODEL
Telangana,Warangal Rural,2023-08-13,2023,08,0.3380087033,NRSC VIC MODEL
Telangana,Warangal Rural,2023-08-15,2023,08,0.1617918211,NRSC VIC MODEL
Telangana,Warangal Rural,2023-08-16,2023,08,0.7979416324,NRSC VIC MODEL
